ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
739200,4X-DAJ,P750,Pacific Aerospace,750XL,Pacific Aerospace 750XL,1,Private,,156,
739222,4X-CDE,C172,Cessna,172P Skyhawk,Cessna 172P Skyhawk,0,Sky Aviation,,17274508,
739346,4X-CRZ,C560,Cessna,Citation 5,Cessna Citation 5,1,Private,,560-0216,
739347,4X-CNZ,H25B,Hawker,800XP,Hawker 800XP,1,Private,,258525,2001
739349,4X-CNL,GALX,Gulfstream,G200 Galaxy,Gulfstream G200 Galaxy,1,Private,,065,2002
73934E,4X-CZF,H25B,Hawker,800XP,Hawker 800XP,0,Arrow Aviation,,258409,1999
739443,4X-CZA,C650,Cessna,650 Citation III,Cessna 650 Citation III,1,Private,,650-0187,
739557,4X-CGB,C152,Cessna,152,Cessna 152,1,Private,,15285031,
