Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
SLAB,Abopo Airport,SLAB,,Cordillera,BO,-18.632000,-62.939201,2752
SLAG,Monteagudo Airport,SLAG,MHW,El Bañado,BO,-19.827000,-63.960999,3674
SLAM,Arampampa Airport,SLAM,,Gral. Ballivian,BO,-17.883333,-66.099998,10250
SLAN,Angora Airport,SLAN,,Ballivian,BO,-14.432300,-65.768799,731
SLAP,Apolo Airport,SLAP,APB,Apolo,BO,-14.735600,-68.411903,4639
SLAQ,Aiquile Airport,SLAQ,,Campero,BO,-18.215401,-65.187798,7208
SLAS,Ascención De Guarayos Airport,SLAS,ASC,Ascensión de Guarayos,BO,-15.930300,-63.156700,807
SLBB,Bulo Bulo Airport,SLBB,,Carrasco,BO,-17.257334,-64.366669,886
SLBF,Blanca Flor Airport,SLBF,,Madre De Dios,BO,-11.783334,-66.883331,656
SLBH,Buena Hora Airport,SLBH,,Ballivian,BO,-12.133333,-66.533333,656
SLBJ,Bermejo Airport,SLBJ,BJO,Bermejo,BO,-22.773300,-64.312897,1249
SLBN,Bella Unión Airport,SLBN,,Mamoré,BO,-13.633333,-65.283333,722
SLBR,Buen Retiro Itenez Airport,SLBR,,Itenes,BO,-13.416667,-63.483334,774
SLBS,Bella Vista Itenez Airport,SLBS,,Itenes,BO,-14.267700,-64.299004,774
SLBT,Buen Retiro Ballivian Airport,SLBT,,Ballivian,BO,-13.900000,-66.550003,886
SLBV,Villa Vista Montano Airport,SLBV,,De Montaño,BO,-13.850000,-66.366669,519
SLCA,Camiri Airport,SLCA,CAM,Camiri,BO,-20.006399,-63.527802,2614
SLCB,Jorge Wilsterman International Airport,SLCB,CBB,Cochabamba,BO,-17.421101,-66.177101,8360
SLCC,Copacabana Airport,SLCC,,Copacabana,BO,-16.191099,-69.095596,12591
SLCD,Cañada Airport,SLCD,,Gutierrez,BO,-20.025400,-63.089100,1954
SLCE,Cabezas Airport,SLCE,,Cordillera,BO,-18.795401,-63.300301,1328
SLCG,Charagua Airport,SLCG,,Cordillera,BO,-19.785601,-63.188400,2040
SLCH,Chimore Airport,SLCH,,Chimore,BO,-16.990019,-65.141502,875
SLCI,Caigua Airport,SLCI,,Gran Chaco,BO,-21.166666,-63.633335,1440
SLCL,Collpani Airport,SLCL,,Abaroa,BO,-18.891666,-66.783333,12185
SLCM,Camiare Airport,SLCM,,Yacuma,BO,-14.074333,-65.650330,550
SLCN,Charaña Airport,SLCN,,Charaña,BO,-17.594700,-69.433098,13339
SLCO,Capitán Aníbal Arab Airport,SLCO,CIJ,Cobija,BO,-11.040400,-68.782997,889
SLCP,Concepción Airport,SLCP,CEP,Concepción,BO,-16.138300,-62.028599,1620
SLCR,Comarapa Airport,SLCR,,M. Caballero,BO,-17.913601,-64.517799,6186
SLCS,Cerdas Airport,SLCS,,Nor Lipez,BO,-20.808333,-66.401111,12640
SLCT,"Choreti, Bolivia, South America Airport",SLCT,,Mamore,BO,-13.514500,-64.965202,656
SLCU,Culpina Airport,SLCU,,Sud Cinti,BO,-20.833334,-64.966667,9676
SLCV,Cavinas Airport,SLCV,,Ballivian,BO,-12.549800,-66.912498,656
SLCX,Chive Airport,SLCX,,Iturralde,BO,-12.377833,-68.567665,618
SLCY,Collpa Airport,SLCY,,A. Ibañez,BO,-17.565001,-63.174702,1170
SLDA,Caranda Airport,SLDA,,Ichilo,BO,-17.516666,-63.516666,1082
SLDN,El Desengano Airport,SLDN,,Yacuma,BO,-14.273600,-65.440002,730
SLEA,El Cocal Airport,SLEA,,Yacuma,BO,-13.559400,-66.079002,722
SLEC,El Cairo Airport,SLEC,,Yacuma,BO,-13.783334,-66.400002,722
SLEE,El Escondido Airport,SLEE,,Tesoro,BO,-21.466999,-63.352798,1246
SLEF,El Triunfo Airport,SLEF,,Yacuma,BO,-13.883333,-65.766670,486
SLEH,El Rancho Airport,SLEH,,Mamore,BO,-13.050000,-65.033333,722
SLEI,Espino Airport,SLEI,,Cordillera,BO,-19.299900,-63.209000,2313
SLEK,El Condor Airport,SLEK,,Tesoro,BO,-21.700834,-63.456833,1734
SLEO,El Paraiso Airport,SLEO,,Yacuma,BO,-14.383333,-65.849998,722
SLEP,El Peru Airport,SLEP,,Yacuma,BO,-14.604667,-65.618332,528
SLER,Cerrillos Airport,SLER,,Hernando Siles,BO,-20.016666,-64.033333,3300
SLES,Estalsa Airport,SLES,,Poopo,BO,-18.450001,-66.916664,12460
SLET,El Trompillo Airport,SLET,SRZ,Santa Cruz,BO,-17.811600,-63.171501,1371
SLEV,El Salvador Airport,SLEV,,Ballivian,BO,-14.498300,-66.762901,574
SLEZ,La Esperanza Airport,SLEZ,,Moxos,BO,-14.766666,-65.533333,1100
SLFA,Fatima Airport,SLFA,,Ballivian,BO,-15.333333,-66.800003,1000
SLFL,Florida Airport,SLFL,,Moira,BO,-14.614166,-61.197498,600
SLFO,Flor De Oro Airport,SLFO,,Moxos,BO,-13.554800,-61.004101,560
SLFR,Florencia Airport,SLFR,,Moxos,BO,-15.683333,-65.566666,574
SLGP,Guirapembi Airport,SLGP,,Cordillera,BO,-18.056000,-63.163166,1493
SLGY,Capitán de Av. Emilio Beltrán Airport,SLGY,GYA,Guayaramerín,BO,-10.820600,-65.345596,557
SLHA,Cachascani Airport,SLHA,,Itenes,BO,-13.500000,-64.199997,722
SLHC,Huacareta Airport,SLHC,,H. Silez,BO,-20.390800,-64.015404,4668
SLHJ,Huacaraje Airport,SLHJ,BVK,Itenes,BO,-13.550000,-63.747898,846
SLHS,Chacobos Airport,SLHS,,Parapeti,BO,-19.594801,-62.565701,1437
SLHT,Transierra Helipuerto,SLHT,,Transierra Natural Gas Co.,BO,-21.338500,-63.479000,1486
